User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities
1,20,Non-binary,Bangalore,Undergraduate,Freelancer,Hinge,Hinge,Monthly,60,Finding a Partner,4,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance
2,24,Female,Delhi,Undergraduate,Part-time Job,Hinge,OkCupid,Weekly,30,Casual Dating,5,Time-Wasting,Video Calls,Text,Values > Personality > Appearance
3,24,Non-binary,Kolkata,Undergraduate,Intern,unknown,unknown,Weekly,120,Casual Dating,4,Safety Concerns,Detailed Profiles,Text,Values > Personality > Appearance
4,22,Non-binary,Delhi,Graduate,Full-time Job,unknown,OkCupid,Daily,30,Casual Fun,3,unknown,AI Recommendations,Voice Notes,Personality > Interests > Values
5,18,Male,Delhi,Graduate,Intern,OkCupid,OkCupid,Weekly,120,Casual Fun,4,Safety Concerns,Video Calls,Text,Appearance > Interests > Personality
6,23,Female,Mumbai,Undergraduate,Student,OkCupid,unknown,Daily,90,Casual Dating,2,unknown,Audio Calls,Video Calls,Values > Personality > Appearance
7,22,Non-binary,Chennai,Postgraduate,Part-time Job,Tinder,Tinder,Monthly,30,Finding a Partner,4,Time-Wasting,Audio Calls,Text,Personality > Interests > Values
8,21,Female,Pune,Postgraduate,Freelancer,Hinge,Tinder,Weekly,90,Finding a Partner,2,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance
9,20,Male,Pune,Postgraduate,Part-time Job,Hinge,OkCupid,Daily,120,Finding a Partner,1,Lack of Genuine Matches,Audio Calls,Text,Values > Personality > Appearance
10,20,Non-binary,Chennai,Undergraduate,Intern,OkCupid,Bumble,Weekly,180,Finding a Partner,1,Safety Concerns,Location-Based Matching,Video Calls,Values > Personality > Appearance
11,18,Female,Hyderabad,Postgraduate,Full-time Job,Tinder,Hinge,Daily,60,Social Interaction,1,unknown,Location-Based Matching,Voice Notes,Appearance > Interests > Personality
12,21,Male,Delhi,Undergraduate,Part-time Job,unknown,unknown,Monthly,180,Finding a Partner,1,unknown,Audio Calls,Voice Notes,Appearance > Interests > Personality
13,22,Male,Bangalore,Undergraduate,Student,Hinge,OkCupid,Monthly,60,Casual Dating,3,Time-Wasting,Video Calls,Video Calls,Personality > Interests > Values
14,19,Non-binary,Bangalore,Undergraduate,Student,Hinge,Bumble,Daily,120,Social Interaction,1,unknown,AI Recommendations,Voice Notes,Personality > Interests > Values
15,22,Non-binary,Chennai,Graduate,Intern,Hinge,unknown,Daily,90,Casual Fun,1,Lack of Genuine Matches,Audio Calls,Voice Notes,Appearance > Interests > Personality
16,19,Female,Bangalore,Undergraduate,Freelancer,Hinge,OkCupid,Daily,90,Casual Dating,5,Time-Wasting,Detailed Profiles,Text,Appearance > Interests > Personality
17,22,Non-binary,Hyderabad,Graduate,Part-time Job,Bumble,Tinder,Monthly,60,Casual Fun,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Values > Personality > Appearance
18,19,Non-binary,Hyderabad,Graduate,Student,OkCupid,OkCupid,Monthly,60,Finding a Partner,3,Safety Concerns,Detailed Profiles,Text,Personality > Interests > Values
19,24,Male,Hyderabad,Graduate,Intern,unknown,Hinge,Daily,30,Casual Dating,2,Lack of Genuine Matches,AI Recommendations,Video Calls,Personality > Interests > Values
20,22,Non-binary,Pune,Undergraduate,Student,Hinge,Hinge,Weekly,90,Finding a Partner,1,Time-Wasting,Video Calls,Voice Notes,Appearance > Interests > Personality
21,22,Male,Mumbai,Postgraduate,Freelancer,Hinge,Bumble,Weekly,180,Social Interaction,1,Safety Concerns,AI Recommendations,Video Calls,Values > Personality > Appearance
